Protein.Group,Protein.Names,Genes,First.Protein.Description,PD2_F1,PD2_F2,PD3_F1,PD3_F2,PD5_F1,PD5_F2,PD13_F1,PD13_F2,PD14_F1,PD14_F2,PD1_F1,PD1_F2,PD7_F1,PD7_F2,PD9_F1,PD9_F2,PD10_F1,PD10_F2,PD12_F1,PD12_F2,CON4_F1,CON4_F2,CON5_F1,CON5_F2,CON6_F1,CON6_F2,CON7_F1,CON7_F2,CON8_F1,CON8_F2,CON10_F1,CON10_F2,CON12_F1,CON12_F2,CON13_F1,CON13_F2,CON14_F1,CON14_F2,CON15_F1,CON15_F2
Q3MJ16,PA24E_HUMAN,PLA2G4E,Cytosolic phospholipase A2 epsilon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2818870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q3SXM5,HSDL1_HUMAN,HSDL1,Inactive hydroxysteroid dehydrogenase-like protein 1,NA,15468600,NA,9647160,NA,18848900,NA,6111120,NA,10659700,NA,14802800,NA,21561500,NA,12351800,NA,11083400,NA,9612090,NA,11554600,NA,4831630,NA,15701200,NA,13225400,NA,7365770,NA,3640900,NA,23652400,NA,4984810,NA,7835480,NA,14058600
Q3SY69,AL1L2_HUMAN,ALDH1L2,Mitochondrial 10-formyltetrahydrofolate dehydrogenase,13471000,14423500,38818200,25549900,27116500,20150500,40326200,33774600,30842600,19422600,34022900,19617700,15756400,NA,25009300,16160600,36884300,27014900,31823600,23923600,38113400,30009300,31938000,19613600,NA,20755300,NA,NA,39460400,NA,NA,NA,20753500,27189000,27354400,17633700,34570800,25823100,34850700,16297000
Q3SYG4,PTHB1_HUMAN,BBS9,Protein PTHB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60667.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17650.5,731850
Q3V6T2,GRDN_HUMAN,CCDC88A,Girdin,NA,693601,856386,988716,1705120,1490620,946481,922017,890173,1443730,1307240,1571660,NA,NA,615606,1163290,931230,993287,1098280,1675160,607989,1282410,498477,624670,NA,NA,134426,1389230,761849,1154930,NA,838943,711176,905799,537606,854930,651565,1045680,2331320,2330820
Q3YEC7,RABL6_HUMAN,RABL6,Rab-like protein 6,11796200,14329000,11405400,14315700,8181540,7092870,8560690,11773200,10206800,9905000,8297170,11246500,12856600,20907800,10327000,15129400,12484500,15147000,7857710,8058910,11619300,11953700,14309800,16413500,12718300,19206900,11061200,15350300,9543060,16071900,13984100,19389100,10965800,24207600,10897600,16562900,12845200,24655300,13350800,17330800
Q3ZCM7,TBB8_HUMAN,TUBB8,Tubulin beta-8 chain,1356950,1585740,578424,NA,1325150,1645330,564514,743962,1196270,1182180,889133,916233,255328,766419,1647250,2432410,136682,499802,474194,918002,1320420,1482460,548096,1609870,1111250,1371810,765576,975995,932525,NA,NA,774570,398880,848198,449269,400299,478816,578385,705862,848242
Q3ZCQ8,TIM50_HUMAN,TIMM50,Mitochondrial import inner membrane translocase subunit TIM50,NA,2497120,187153,1642620,240001,3999860,NA,1770540,155238,2877200,432236,4144180,NA,5831700,276984,4312110,343415,6340580,NA,3205870,NA,4202490,331042,583381,290840,5959380,729269,7611450,315567,6953580,NA,1073670,NA,4741560,NA,828061,NA,2802840,248157,11160700
Q3ZCW2,LEGL_HUMAN,LGALSL,Galectin-related protein,49608500,41506900,59104400,45777400,34439000,25356700,42756400,31175600,35659200,21691200,37110600,23717900,49602300,42415700,44506200,28409000,60544800,38381100,38920400,31429100,44070100,33846100,74582400,37737900,58584200,43934600,46778400,32836300,49306800,27754300,51795300,32355500,51949600,45921700,61606300,41778600,59086600,45781000,58792700,34983100
Q460N5,PAR14_HUMAN,PARP14,Protein mono-ADP-ribosyltransferase PARP14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45691.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q495W5,FUT11_HUMAN,FUT11,"Alpha-(1,3)-fucosyltransferase 11",NA,NA,NA,1062790,NA,1030250,NA,NA,NA,NA,NA,1015880,NA,816818,NA,1044210,NA,975575,NA,1695850,NA,1113420,NA,558811,NA,NA,NA,NA,NA,1610920,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475610
Q496J9,SV2C_HUMAN,SV2C,Synaptic vesicle glycoprotein 2C,NA,3733180,NA,2239110,NA,1911940,NA,2863240,NA,4208900,NA,8598700,2060910,12616200,1494170,7836500,1750800,8960810,NA,2010880,NA,3671700,NA,4611250,1387120,12230800,1896520,11718600,1152280,15129100,NA,5680380,330540,19141100,1676630,6502420,224621,10296800,4023840,15920300
Q49A26,GLYR1_HUMAN,GLYR1,Cytokine-like nuclear factor N-PAC,896879,2738660,1599730,3442880,1049750,2863620,824154,3339890,1281090,3372460,1435400,3386100,1886490,4680940,888588,3439630,1254840,3220090,1327230,2231190,1296130,2988380,1641720,4232590,1193710,4314170,1430090,4918140,1430180,NA,NA,4067290,1031760,5343110,1584330,4757620,1213680,3703460,837499,2191820
Q49AH0,CDNF_HUMAN,CDNF,Cerebral dopamine neurotrophic factor,NA,NA,NA,77395,NA,45409.4,NA,32417.3,NA,63317.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,33870.3,NA,NA,NA,27631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24063.2
Q49AR2,CE022_HUMAN,C5orf22,UPF0489 protein C5orf22,297828,206469,183987,122427,261367,126707,202242,202122,237111,181203,174980,NA,323750,NA,241443,113227,199001,159798,122213,NA,175234,NA,132458,206750,295449,NA,216015,NA,153465,NA,NA,NA,NA,NA,164274,257766,NA,NA,384555,222037
Q49B96,COX19_HUMAN,COX19,Cytochrome c oxidase assembly protein COX19,893643,2075990,868872,2328670,653654,1109190,651792,2115600,667048,1354710,NA,1198850,1781050,2531270,1037290,1604010,1231350,1778390,NA,984333,589326,1409770,1377400,2352530,1186570,1972840,1318370,3617110,1549670,NA,1331840,1020200,912126,1581390,1222810,1832580,1278880,2485090,1529860,2850920
Q49MG5,MAP9_HUMAN,MAP9,Microtubule-associated protein 9,24956.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29197.7,38947.6,17993.7,27196.8,35314.7,45765.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23257.9
Q4AE62,QTMAN_HUMAN,GTDC1,tRNA-queuosine alpha-mannosyltransferase,NA,1412410,NA,1680700,NA,1129030,NA,1737130,NA,1509370,NA,1448850,NA,967034,NA,1897290,NA,1419410,NA,2563990,NA,1318600,NA,NA,NA,NA,846721,1078770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1540100,2649760
Q4G0F5,VP26B_HUMAN,VPS26B,Vacuolar protein sorting-associated protein 26B,10357800,13026800,12359800,18684400,18439000,19035900,9944480,15164600,19366300,17437800,19447100,21890800,6917590,13479100,19799200,21764800,18932100,27240300,13248400,14925600,13995600,19778200,9241530,19860700,22072400,24688200,18929700,26733100,24277300,8252650,9213620,22350600,9655440,14575000,7762000,7145330,12078000,16430500,24321300,25763200
Q4G0I0,UQCC4_HUMAN,UQCC4,Ubiquinol-cytochrome c reductase complex assembly factor 4,NA,112427,NA,NA,NA,285303,NA,NA,NA,NA,NA,259985,NA,464774,NA,160189,NA,188599,NA,154781,NA,266712,NA,NA,NA,166764,NA,117510,NA,NA,NA,NA,NA,217471,NA,NA,NA,NA,NA,373522
Q4G0J3,LARP7_HUMAN,LARP7,La-related protein 7,NA,193726,102226,356545,175910,195382,107020,398661,161207,314942,168302,226268,NA,129810,95789.1,479351,108965,292952,125555,288652,84103.8,200506,96582.2,559222,NA,209972,206771,267140,128185,NA,NA,159273,NA,NA,NA,95715.6,NA,179591,153131,389016
Q4G0N4,NAKD2_HUMAN,NADK2,"NAD kinase 2, mitochondrial",27208300,64732500,47467700,90081400,35739200,60858600,27268600,52401400,35195700,67707400,24790800,49614200,40598200,105725000,26568200,56050800,27771200,62775300,31545100,56319100,31614400,60062600,37723900,60153100,25631400,92106600,15267300,67204200,25742500,45327000,38327200,77772300,40137100,122046000,43543000,98205600,32492000,85496000,29334400,47158100
Q4G0X4,KCD21_HUMAN,KCTD21,BTB/POZ domain-containing protein KCTD21,NA,NA,206990,NA,316475,NA,351544,NA,122100,NA,NA,328760,NA,NA,NA,311979,NA,NA,287697,585511,NA,NA,NA,207722,NA,NA,208093,NA,NA,NA,NA,269200,NA,NA,NA,NA,NA,NA,272773,NA
Q4G148,GXLT1_HUMAN,GXYLT1,Glucoside xylosyltransferase 1,NA,140775,NA,165177,18991.2,143680,28682.4,288162,12922,205798,12552,178628,36860.5,93527.2,3031.34,234839,NA,204032,NA,147271,28843.5,200614,20800.2,160957,10283.8,160952,26020.8,296135,NA,NA,NA,90872.6,NA,102740,NA,54747.5,NA,86901.9,22853.5,271706
Q4G176,ACSF3_HUMAN,ACSF3,"Malonate--CoA ligase ACSF3, mitochondrial",NA,300389,NA,365175,89724.4,752180,NA,506922,NA,557817,NA,627996,NA,623292,130097,860176,158229,1179920,NA,683823,NA,450501,NA,218698,NA,907294,238649,1450350,262638,688762,NA,352772,NA,995844,NA,NA,NA,933455,1190860,3458780
Q4J6C6,PPCEL_HUMAN,PREPL,Prolyl endopeptidase-like,25581700,22419200,34186200,25087200,33437600,19791200,25817500,23482400,36948700,22099400,44454800,28340200,27577200,20618600,33222600,22271200,40515600,24958800,23462500,19990800,29329900,18891300,25549300,23178000,32203400,23572700,32263900,23593800,31920200,18195800,24320400,24686800,31171100,29839800,21492000,17235500,31246500,23868300,24391200,13846100
Q4KMP7,TB10B_HUMAN,TBC1D10B,TBC1 domain family member 10B,903574,2035520,1032440,1626550,801453,1483550,734130,1782490,1151550,1563460,912598,1465780,1233630,1882600,1131580,1909820,920506,1538420,662857,1525940,1379010,2155620,1048280,1519110,1143260,1956630,1088930,3679780,1146060,1657720,1886460,2087240,1362350,2195010,1203020,2290650,1475820,2477740,2356940,5754710
Q4KMQ2,ANO6_HUMAN,ANO6,Anoctamin-6,NA,5398600,NA,5220220,NA,6633080,NA,9065430,NA,6671600,NA,6865260,NA,5950000,NA,5292420,NA,3957410,NA,6921340,NA,6862400,NA,3458780,NA,3389780,NA,4012690,NA,NA,NA,3068750,NA,7584090,NA,2572570,NA,4648350,NA,8282340
Q4KMZ8,NKAI1_HUMAN,NKAIN1,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1106560,523572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q4L180,FIL1L_HUMAN,FILIP1L,Filamin A-interacting protein 1-like,NA,NA,2149.4,NA,NA,NA,3336.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2535.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q4LDG9,DNAL1_HUMAN,DNAL1,Dynein axonemal light chain 1,729729,367746,1171920,779513,1241170,882504,1077330,893243,1042920,891211,930771,792701,792934,356307,801571,551310,1325180,918200,1365380,702316,623847,552902,1258520,554950,873985,581697,807668,624805,757663,NA,1381520,NA,472202,NA,706702,NA,842087,556608,1275470,548854
Q4V328,GRAP1_HUMAN,GRIPAP1,GRIP1-associated protein 1,NA,158261,NA,142756,148003,257918,136693,205607,193389,173826,NA,338726,NA,175501,NA,260595,261291,500612,NA,205270,NA,428483,NA,150567,111075,316934,336809,467170,210589,287264,NA,267523,NA,318580,NA,181378,NA,369093,827686,1249390
Q4VC05,BCL7A_HUMAN,BCL7A,B-cell CLL/lymphoma 7 protein family member A,219958,455421,NA,NA,NA,NA,NA,NA,88528.5,753915,NA,525345,NA,NA,1769390,NA,NA,112882,NA,NA,NA,NA,NA,731366,NA,NA,NA,810997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,982486,NA
Q4VC31,MIX23_HUMAN,MIX23,Protein MIX23,5665730,5994620,7296340,10177700,5831690,9574790,4548860,6118660,5392170,6919780,3712230,5197580,10870700,12668300,4894530,6568690,6836980,8444730,4003490,5975640,4922800,6547290,6656830,7102580,6281540,11027400,6193850,8276050,6435920,9201480,8642060,10089000,9296820,13675100,8446700,12326500,9151120,11121500,5832030,8214200
Q4VCS5,AMOT_HUMAN,AMOT,Angiomotin,NA,NA,188431,611480,NA,NA,NA,NA,NA,NA,NA,242308,NA,NA,NA,262486,364656,658666,NA,NA,NA,466748,NA,450432,55217.8,205539,52844.5,145344,NA,NA,NA,NA,NA,NA,NA,NA,NA,350317,567285,462193
Q504Y0,S39AC_HUMAN,SLC39A12,Zinc transporter ZIP12,179955,1851610,173476,1587680,137868,2552900,113338,966524,306605,1179490,175850,884201,NA,1567250,NA,594573,71849.9,787202,NA,1319690,NA,588922,64566.4,740565,NA,613856,NA,947190,NA,NA,NA,537460,NA,1769990,NA,244191,NA,1034080,193834,1805950
Q52LD8,RFTN2_HUMAN,RFTN2,Raftlin-2,1026890,9221980,1274490,10517400,1440070,8063160,941922,10034300,1361860,9739980,1246850,7999170,991026,9534100,806688,7813060,723769,5075640,2285820,9784010,1455820,10022700,909322,9808850,529081,4708580,146979,5553560,527948,4356950,823119,10224000,856329,8170580,1216430,9776350,1009610,8192760,498566,4635360
Q52LJ0,FA98B_HUMAN,FAM98B,Protein FAM98B,4358610,11362600,11884100,20843800,20752000,22236100,13032600,23843100,20859700,23294400,21943200,20758200,4280800,8871190,19172400,21136300,11233400,16442000,18379400,20773900,8447170,14035200,6722540,13733000,5467360,12959200,13962700,20689100,16651300,10471900,13264500,9163710,5535840,5428500,NA,5642100,4425000,8652510,20937200,18091900
Q53EL6,PDCD4_HUMAN,PDCD4,Programmed cell death protein 4,240060,702926,595401,1464580,891655,875546,451483,1405290,980098,1067470,1161960,1164040,NA,662854,533092,1862710,828763,1702820,1093660,1294440,525519,638153,552439,2206330,752164,697039,832293,880106,1104420,788940,580848,504649,474095,603307,496474,397398,566849,584152,936648,675498
Q53EL9,SEZ6_HUMAN,SEZ6,Seizure protein 6 homolog,1099230,1183730,537066,932761,585625,774290,726526,772189,1187070,1222690,521629,537955,6393800,4488670,1402350,1866980,1679500,2281900,582493,793182,1023660,1049870,1246600,1213340,1803080,1495380,1361020,2152910,911083,NA,1412870,1671230,1356650,2266030,2564140,1783850,1195360,NA,1143990,894968
Q53EU6,GPAT3_HUMAN,GPAT3,Glycerol-3-phosphate acyltransferase 3,NA,2602130,NA,1799180,NA,2932380,NA,1199450,1127630,2186270,NA,2677960,NA,1911050,NA,2194500,NA,1516410,NA,1406320,NA,3059980,NA,1866850,NA,2733700,NA,2421930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q53FA7,QORX_HUMAN,TP53I3,Quinone oxidoreductase PIG3,1251930,603255,3370130,2237400,2468710,1523100,1414120,986028,2169810,1298560,1540910,1144820,1770930,878959,1638230,987567,1227970,725895,2801600,1798510,1555430,946216,2427670,998052,866598,569733,903608,464593,950604,NA,1393750,853939,1255380,814628,1514650,848661,1227970,802586,1261500,646237
Q53FP2,NACHO_HUMAN,TMEM35A,Novel acetylcholine receptor chaperone,NA,1384650,NA,887641,258177,2805530,138776,969829,163647,2093090,356473,4219120,NA,1211210,NA,1392770,194747,1745550,NA,1429010,218672,1530910,NA,361679,117999,1973500,351248,1892330,246492,NA,NA,NA,NA,1497020,NA,669533,163664,893790,500636,2872810
Q53FT3,HIKES_HUMAN,HIKESHI,Protein Hikeshi,3224410,2050940,2884110,3115490,5330860,2070510,3748580,2281660,4693310,2372330,4785090,2752200,2020570,2046330,3953510,2553520,2797880,2009610,6182730,2914930,4264780,2395200,5945180,4237540,3229200,1354710,3074470,1727240,4109720,NA,5896740,5334740,3044370,2367680,2411600,2125250,4198750,2748260,1876760,1807840
Q53GG5,PDLI3_HUMAN,PDLIM3,PDZ and LIM domain protein 3,789529,888682,1322760,1408060,1242800,1384040,1884880,2904840,2079050,1932360,1162890,1380170,886109,960414,925361,1084400,660404,656662,1227370,1756230,1440720,1400830,1361530,1639120,1150470,1471760,742343,1299290,1084580,938139,NA,1355750,616176,669877,1118270,1222030,628757,839083,729707,1382340
Q53GL0,PKHO1_HUMAN,PLEKHO1,Pleckstrin homology domain-containing family O member 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388419,NA,682423,NA,NA,NA,NA,NA,NA,NA,750392,NA,NA,NA,NA,NA,NA,NA,NA,NA,267244,NA,549406,NA,727768
Q53GQ0,DHB12_HUMAN,HSD17B12,Very-long-chain 3-oxoacyl-CoA reductase,2472580,55291600,3892070,52449900,3980080,60930600,5493110,45883200,5474220,61465700,4383350,51419100,3861610,65341600,4958170,66681600,4948910,47634600,2982090,63358300,5469710,61211100,3887800,33984300,3786510,49875700,7191650,33079100,4905690,22836500,3709300,22084900,4589570,74997600,2354950,31068900,4955720,48810800,8056940,61852300
Q53GS9,UBP39_HUMAN,USP39,Ubiquitin carboxyl-terminal hydrolase 39,1734000,2922920,2097120,2831770,1503640,1262720,1906200,3281000,1778290,3013200,1451080,2564660,3285540,2023700,1371030,4518660,1464800,2231200,1840780,2511490,1846520,1879440,2170900,4472620,1491790,2276030,1343040,3485460,1112440,2169060,2083250,3860660,2271170,2675320,2979300,2942130,2221700,1974530,897267,2551620
Q53GT1,KLH22_HUMAN,KLHL22,Kelch-like protein 22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8674.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6990.75,15080.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14470.9,18955.8
Q53H12,AGK_HUMAN,AGK,"Acylglycerol kinase, mitochondrial",NA,4747860,NA,1307390,NA,5489640,NA,1841480,NA,4204260,NA,5631120,NA,12830100,NA,2733290,NA,5053560,NA,4751830,NA,7049330,NA,NA,NA,7366830,435221,5544890,NA,3074910,NA,535323,NA,7677590,NA,1603210,NA,3752090,NA,8285220
Q53H47,SETMR_HUMAN,SETMAR,Histone-lysine N-methyltransferase SETMAR,22800.5,63079.8,38421.8,51782.1,45107,38056.2,33619.8,91061.5,44103,55489.4,38567,NA,NA,70571.7,52832.7,75738.9,26912.5,NA,47858.5,80988.1,NA,55267,53495.4,72042.9,NA,33034.1,25397.3,55379.8,64393.7,NA,NA,NA,NA,NA,NA,71642.1,33733.3,NA,57415.3,NA
Q53H82,LACB2_HUMAN,LACTB2,Endoribonuclease LACTB2,4962950,4742200,6752260,6132920,4846890,4859450,5119150,4809190,4690270,4091580,6022970,5310860,5756210,4491540,3420860,3833630,4181300,3496120,5770310,5475750,5461620,4304010,6728040,6165170,3852770,4041950,2627020,2967300,4671160,NA,3201330,5395660,5121820,4159300,6706720,6131570,5932680,4194280,3982520,2863810
Q53H96,P5CR3_HUMAN,PYCR3,Pyrroline-5-carboxylate reductase 3,564335,1234970,360416,605839,1722960,1840850,400167,567086,935647,1118140,1067430,1771480,NA,638996,1185620,1297670,160551,645576,516188,970694,1244980,1867500,NA,459824,399758,994917,1712000,1452430,2561750,NA,NA,337753,NA,583221,NA,154916,NA,400987,1485350,1435820
Q53HC0,CCD92_HUMAN,CCDC92,Coiled-coil domain-containing protein 92,113299,888263,215994,1064130,243287,981311,154498,1267680,201587,925054,367005,1030580,145594,1158710,278775,1141310,200453,1149510,NA,891625,NA,590964,NA,514333,251480,1354100,712959,1789220,488354,NA,242427,430938,150036,758536,NA,653846,171235,750896,738894,1679730
Q53HC9,EIPR1_HUMAN,EIPR1,EARP and GARP complex-interacting protein 1,214889,5117540,421877,3707070,1129200,4934260,374796,4162650,881928,3587350,1344400,4304580,NA,5163810,853341,7081800,724301,5685320,817150,3767840,NA,3951110,NA,3707280,728512,5018740,1433480,5069010,1399510,NA,532659,2058710,341971,4462140,NA,2019350,458711,3905550,4615150,7092850
Q53HV7,SMUG1_HUMAN,SMUG1,Single-strand selective monofunctional uracil DNA glycosylase,88353.1,79530.3,111606,132764,113016,85680.7,92708.7,109528,85217.5,73732,111594,106491,49984.7,NA,174757,123100,45770.2,37054.9,78562.5,119071,74216.7,77678.4,120853,95261.5,90907.8,92712,208099,97702.2,132810,NA,NA,71849.9,18076.7,26251.8,NA,NA,41636.9,79003.4,85797.8,32181.8
Q53LP3,SWAHC_HUMAN,SOWAHC,Ankyrin repeat domain-containing protein SOWAHC,NA,NA,NA,NA,15667.9,NA,NA,NA,NA,NA,18857.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97552,NA,NA,NA,NA,49198.6,NA,NA,NA,NA,NA,NA,15478.1,NA
Q53RT3,APRV1_HUMAN,ASPRV1,Retroviral-like aspartic protease 1,890574,1029700,1084540,875672,1168510,638918,1476260,937393,1068550,745531,979709,1275730,648700,844275,1273000,634424,537530,402836,2099910,1293510,763378,664667,3064070,2104140,473075,469764,7898130,859957,932513,NA,1936980,2034140,707014,914200,1183920,1618370,1161430,1222560,446532,427516
Q53S33,BOLA3_HUMAN,BOLA3,BolA-like protein 3,3567970,NA,5566860,8014940,1908790,NA,NA,4526290,2810270,3082980,2794510,2726560,9381360,15522000,2529050,6364180,5671010,8804010,NA,3353960,NA,NA,5401420,NA,6069800,10805300,3873940,11831500,5885260,6167650,7535770,6947140,8650950,14439300,6378240,8391450,5073340,10316800,4775900,6441570
Q53S58,TM177_HUMAN,TMEM177,Transmembrane protein 177,NA,NA,NA,NA,NA,1316820,NA,NA,NA,797979,NA,NA,NA,1862140,NA,877084,NA,NA,NA,832186,NA,983238,NA,NA,NA,1208490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975110
Q53SF7,COBL1_HUMAN,COBLL1,Cordon-bleu protein-like 1,166616,146832,278887,318982,377988,143702,234923,251241,253078,NA,218362,167999,529310,NA,252196,349629,250160,191241,NA,NA,414474,243247,306529,256266,280186,296495,446699,473077,333583,NA,210178,171153,158033,NA,261008,229185,183154,NA,423292,440352
Q53T59,H1BP3_HUMAN,HS1BP3,HCLS1-binding protein 3,NA,NA,900965,969127,678265,800327,665917,858955,715237,1005770,1029750,1238350,NA,NA,1047030,1862130,987333,934905,1368490,967190,1027830,1449250,NA,939295,NA,617006,938577,1217740,NA,NA,NA,NA,NA,NA,NA,415576,687746,1033810,3241730,2648300
Q53TN4,CYBR1_HUMAN,CYBRD1,Plasma membrane ascorbate-dependent reductase CYBRD1,NA,20031500,NA,30695100,1984040,37663400,1444170,22807100,3420080,54630900,NA,22260400,NA,44554700,NA,30213600,NA,34857100,NA,8837080,NA,16173300,NA,18017200,NA,23247500,1829340,26150300,NA,59087200,NA,13465800,NA,23598300,NA,28959400,NA,20563200,2004660,32220100
Q562E7,WDR81_HUMAN,WDR81,WD repeat-containing protein 81,NA,NA,44893.6,77777.9,70809,100649,49506.2,45170.8,77556.8,77117.3,89866.9,124265,NA,69824.5,64644.6,91709.8,52368.6,79664.1,86731.5,115576,33645.5,70526.2,NA,NA,NA,50502.4,37895.7,75123.4,140316,NA,NA,NA,NA,NA,NA,NA,NA,61717.5,237009,216446
Q562R1,ACTBL_HUMAN,ACTBL2,Beta-actin-like protein 2,3245850000,1.02E+10,4201020000,8425550000,3918100000,6293030000,3380690000,8633880000,5569790000,7653220000,5197520000,7823900000,6375530000,9988270000,4507560000,10033800000,5188760000,7908530000,3667980000,6207330000,4723790000,8497390000,4212490000,11603300000,4273680000,10820900000,5248650000,9494780000,4485960000,60680200000,7569460000,1.36E+10,3348340000,12088900000,3349720000,10146500000,4968300000,9937760000,4850210000,9474060000
Q567U6,CCD93_HUMAN,CCDC93,Coiled-coil domain-containing protein 93,1141420,4537750,3805520,6503430,4480290,7290750,3547010,6011190,6073970,6040420,6677780,8772500,NA,2503880,7159300,10744700,4114690,7709470,5342770,8195010,2580620,6858410,3341100,8034880,3105560,7144470,8467930,12626200,9656700,10459700,2225940,3705710,NA,2729280,NA,NA,2150670,4190490,12880900,9474960
Q56VL3,OCAD2_HUMAN,OCIAD2,OCIA domain-containing protein 2,NA,1217790,NA,576306,NA,1519380,NA,1038830,NA,2522290,NA,2454170,NA,3457310,NA,1438610,NA,1804100,NA,1400870,NA,2418880,NA,NA,NA,2139360,234665,1238440,NA,NA,NA,NA,NA,939084,NA,NA,NA,1098570,NA,2998260
Q58EX2,SDK2_HUMAN,SDK2,Protein sidekick-2,NA,4691670,1218440,6852030,NA,7850900,NA,7198680,NA,7762770,NA,6039900,NA,7580040,NA,3307400,NA,4684720,NA,7078700,NA,9182080,NA,3194200,NA,4841610,NA,4620690,NA,6385250,NA,NA,NA,7854810,NA,5836630,NA,4019700,NA,6758300
Q58FF6,H90B4_HUMAN,HSP90AB4P,Putative heat shock protein HSP 90-beta 4,1856370,1914830,9468820,6818180,10237900,5346350,7245160,3300990,7616750,5009070,8606140,6460040,1156790,3426490,8300200,7380010,9707600,7235950,9315590,6705840,6408500,4625720,7616230,7116100,6631750,2401690,16412700,5823410,12478900,NA,2413740,4982930,2095100,NA,1950410,NA,4007450,3316710,999264,5196960
Q58FF8,H90B2_HUMAN,HSP90AB2P,Putative heat shock protein HSP 90-beta 2,NA,NA,NA,NA,NA,NA,NA,NA,35046400,9913540,9648880,NA,NA,NA,NA,NA,37305600,NA,NA,NA,22369600,33892600,NA,NA,NA,NA,59364100,NA,65826400,NA,NA,10245500,NA,NA,NA,NA,NA,NA,53594000,19891200
Q58FG0,HS905_HUMAN,HSP90AA5P,Putative heat shock protein HSP 90-alpha A5,17593.2,NA,63592.1,NA,30144.5,NA,23374.9,13547.9,36983.9,NA,48319.4,25332.1,20346.5,38292.3,30276.1,NA,65457.5,29163.6,59067.8,19122,48239.2,NA,57663.4,33123.8,32793.1,9341.84,22283.1,NA,49209.2,NA,39494.1,21916.2,38540.8,NA,NA,NA,39141.1,26846.8,6338.79,NA
Q59EK9,RUN3A_HUMAN,RUNDC3A,RUN domain-containing protein 3A,201709,808711,213160,1009920,215806,717787,263973,1037190,271816,682802,397624,919045,134420,812289,351017,829726,502702,1635740,138150,558429,NA,892934,NA,1664800,424178,1106540,679159,1969330,443011,NA,NA,764326,214945,1078890,99335.7,433273,194920,1211750,765183,1913370
Q5BJD5,TM41B_HUMAN,TMEM41B,Transmembrane protein 41B,NA,NA,NA,NA,NA,76526.9,NA,NA,NA,83636.9,NA,NA,NA,NA,NA,71579.4,NA,46503.9,NA,NA,NA,NA,NA,NA,NA,63535.9,51974.5,102413,NA,NA,NA,NA,NA,NA,NA,NA,NA,26443.2,NA,101407
Q5BJH7,YIF1B_HUMAN,YIF1B,Protein YIF1B,145139,560520,NA,521120,193009,1315230,NA,697922,206095,876037,335745,1275070,NA,1406700,222650,1021140,231747,1570820,NA,682925,NA,1091650,NA,340430,NA,1065040,266360,1417550,324827,2062550,194073,567551,NA,1004250,NA,NA,NA,942379,720832,2294980
Q5BKU9,OXLD1_HUMAN,OXLD1,Oxidoreductase-like domain-containing protein 1,NA,784020,NA,905113,181332,889377,NA,824932,NA,1161690,NA,925275,NA,1405210,NA,367801,NA,677955,NA,351886,NA,408012,NA,755838,188516,388799,NA,1988130,NA,NA,NA,434267,231619,715031,NA,817601,NA,1033580,NA,1006220
