Protein.Group,Protein.Names,Genes,First.Protein.Description,PD2_F1,PD2_F2,PD3_F1,PD3_F2,PD5_F1,PD5_F2,PD13_F1,PD13_F2,PD14_F1,PD14_F2,PD1_F1,PD1_F2,PD7_F1,PD7_F2,PD9_F1,PD9_F2,PD10_F1,PD10_F2,PD12_F1,PD12_F2,CON4_F1,CON4_F2,CON5_F1,CON5_F2,CON6_F1,CON6_F2,CON7_F1,CON7_F2,CON8_F1,CON8_F2,CON10_F1,CON10_F2,CON12_F1,CON12_F2,CON13_F1,CON13_F2,CON14_F1,CON14_F2,CON15_F1,CON15_F2
Q9NRQ2,PLS4_HUMAN,PLSCR4,Phospholipid scramblase 4,NA,11366300,1109050,17578300,635445,25906200,615518,17097900,NA,22793100,721733,19925700,NA,8469130,NA,9095970,NA,5757460,1076910,22112000,574541,14892300,NA,8100210,NA,4237560,NA,5237370,NA,NA,NA,7192190,NA,8371490,NA,9441420,NA,6624570,NA,10400700
Q9NRR3,C42S2_HUMAN,CDC42SE2,CDC42 small effector protein 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NRR5,UBQL4_HUMAN,UBQLN4,Ubiquilin-4,399133,977049,451710,708119,504120,787212,417219,641551,615952,711523,568550,660457,617082,912402,698195,1006980,672810,712966,534637,708146,378400,753327,585342,757411,637952,855976,775101,946516,772886,NA,444683,854711,524519,863208,454918,606089,409522,595601,719042,769611
Q9NRR6,INP5E_HUMAN,INPP5E,Phosphatidylinositol polyphosphate 5-phosphatase type IV,9068.35,NA,10460.7,NA,8976.24,6656.09,7042.2,9983.6,NA,NA,8990.35,NA,NA,NA,NA,7995.29,5884.75,7610.47,NA,NA,5873.85,NA,8120.68,7231.88,NA,NA,5959.05,7468.6,NA,NA,8122.47,NA,NA,NA,NA,10586.8,7352.28,NA,6587.93,7356.84
Q9NRS6,SNX15_HUMAN,SNX15,Sorting nexin-15,NA,NA,NA,NA,NA,NA,NA,1332600,NA,836205,NA,NA,NA,NA,NA,1403400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1487710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3624200,3483840
Q9NRU3,CNNM1_HUMAN,CNNM1,Metal transporter CNNM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123974,NA,NA,NA,NA,NA,NA,NA,119916,NA,136070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135979,372603
Q9NRV9,HEBP1_HUMAN,HEBP1,Heme-binding protein 1,52373900,64510200,84888000,76346500,56185900,60718800,63881100,69693300,66933700,61077000,71285100,56032400,51863500,58397100,78934000,68228000,56122600,59749800,80617400,66934300,62233200,62414600,124997000,95949200,56572200,54414900,33883700,42008200,51793000,63548700,61765100,40584200,45777400,55281000,41359800,44361200,58455100,73282600,39885300,33190000
Q9NRW1,RAB6B_HUMAN,RAB6B,Ras-related protein Rab-6B,191808000,115273000,261889000,169268000,212588000,128591000,190155000,131531000,221961000,125274000,229630000,139247000,238396000,132597000,171433000,92844400,197232000,96424600,183072000,116280000,182391000,112451000,183953000,132549000,173677000,96401200,143909000,96431100,164728000,91472200,231020000,114454000,170284000,129099000,164119000,137904000,197267000,144431000,210208000,122484000
Q9NRW7,VPS45_HUMAN,VPS45,Vacuolar protein sorting-associated protein 45,3643240,4825000,11886000,11901400,14141600,13143000,8796090,10429900,8875620,9361760,14964200,14384800,3061250,6088560,12157300,14338400,22371800,16732200,10634600,12307400,10970500,11608700,12900600,9915450,9148300,12664300,13444000,16245300,16172100,8293590,6385540,6150820,3348610,6493080,984755,1666000,9952640,9929700,18361300,17683800
Q9NRX1,PNO1_HUMAN,PNO1,RNA-binding protein PNO1,NA,NA,NA,619101,NA,367167,NA,527722,NA,424694,NA,455841,NA,NA,NA,750043,NA,343988,NA,610900,NA,424392,NA,775955,NA,356420,NA,448051,NA,NA,NA,NA,NA,NA,NA,NA,NA,367519,NA,481671
Q9NRX2,RM17_HUMAN,MRPL17,Large ribosomal subunit protein bL17m,NA,4502790,NA,5951500,540543,3893950,NA,3171880,697016,2765800,674939,4712540,NA,2644660,NA,2713450,878224,4884690,597426,3742310,NA,1484860,NA,3092490,620162,3808440,726443,2735240,715234,NA,NA,1906170,NA,3859060,NA,2107610,NA,4013980,1063170,3297470
Q9NRX4,PHP14_HUMAN,PHPT1,14 kDa phosphohistidine phosphatase,10605200,16813700,38241900,25747200,62323400,37329900,37525700,21539400,46152900,23609000,56397300,36860900,3393700,8638110,47184900,18395900,38049400,21550500,77017900,43539600,27244300,21789900,16196800,14333200,28626900,26459400,31438800,16603400,51902300,18040400,11663700,12785500,7177850,14039100,5523360,3370840,9901360,13583200,82297700,33626200
Q9NRX5,SERC1_HUMAN,SERINC1,Serine incorporator 1,NA,3885060,NA,2763640,242254,4418560,NA,2854520,NA,3486300,NA,3467220,NA,4537130,NA,2925420,184128,4169770,NA,3528020,439550,4114580,NA,1429440,NA,3238710,312512,3612670,NA,1846260,NA,1846770,NA,4834380,NA,1769010,NA,3661020,628027,6319620
Q9NRY4,RHG35_HUMAN,ARHGAP35,Rho GTPase-activating protein 35,NA,258732,NA,142483,178637,511978,92234.6,228851,95666.3,362057,228012,513223,NA,423390,NA,300221,110490,476881,135576,332612,NA,515866,NA,NA,NA,314753,294606,619414,NA,413619,NA,122511,NA,244237,NA,NA,NA,338150,2087890,1908190
Q9NRY5,F1142_HUMAN,FAM114A2,Protein FAM114A2,246918,350455,739424,529903,1050140,789820,523780,616715,933305,729172,1158930,848942,293398,380840,859427,689397,1237170,934557,892681,591350,750898,1029130,816699,538811,716439,834809,1222690,842345,1199290,669709,493960,400175,320858,481628,NA,NA,466435,586021,1904020,834530
Q9NRY6,PLS3_HUMAN,PLSCR3,Phospholipid scramblase 3,NA,4214020,NA,2773010,NA,3642920,NA,4139830,NA,5007180,NA,4698340,841112,4948420,NA,2920650,NA,3758530,NA,3325760,1074620,4208130,NA,2660780,NA,4322160,925467,3685400,NA,NA,324238,4908360,473243,6473050,NA,4160290,NA,4359480,NA,3608760
Q9NRZ5,PLCD_HUMAN,AGPAT4,1-acyl-sn-glycerol-3-phosphate acyltransferase delta,NA,141559,NA,208741,50546.4,457838,NA,206722,34538.6,461572,111671,699872,NA,100132,55245,653328,NA,266878,NA,821303,NA,423083,NA,134076,NA,290085,NA,520972,NA,NA,NA,203321,NA,213785,NA,77609.4,NA,135533,152667,834941
Q9NRZ7,PLCC_HUMAN,AGPAT3,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,NA,1089230,470965,1850690,354654,1953560,694300,2241750,424919,2459500,515484,3684770,NA,1419230,380773,2668870,610226,3472060,391772,3107220,410928,2389690,NA,1136760,272670,1762460,506607,3493190,616552,1763280,NA,NA,211573,1797660,NA,620725,NA,1816650,1107360,6491140
